t,Va,Vb
-0.0127999987,-2.5599999,-2.6399999
-0.0127799986,-2.48,-2.5599999
-0.0127599984,-2.48,-2.79999995
-0.0127399992,-2.48,-2.5599999
-0.0127199991,-2.48,-2.6399999
-0.0126999989,-2.5599999,-2.6399999
-0.0126799988,-2.3999999,-2.6399999
-0.0126599986,-2.48,-2.6399999
-0.0126399985,-2.5599999,-2.3999999
-0.0126199992,-2.5599999,-2.48
-0.0125999991,-2.48,-2.3199999
-0.0125799989,-2.48,-2.48
-0.0125599988,-2.5599999,-2.72000003
-0.0125399986,-2.5599999,-2.48
-0.0125199985,-2.48,-2.3999999
-0.0124999993,-2.5599999,-2.48
-0.0124799991,-2.48,-2.24
-0.012459999,-2.5599999,-2.48
-0.0124399988,-2.5599999,-2.3999999
-0.0124199986,-2.5599999,-2.6399999
-0.0123999985,-2.48,-2.3999999
-0.0123799993,-2.48,-2.6399999
-0.0123599991,-2.3999999,-2.5599999
-0.012339999,-2.5599999,-2.6399999
-0.0123199988,-2.48,-2.5599999
-0.0122999987,-2.5599999,-2.6399999
-0.0122799985,-2.48,-2.48
-0.0122599993,-2.5599999,-2.3999999
-0.0122399991,-2.5599999,-2.79999995
-0.012219999,-2.5599999,-2.48
-0.0121999988,-2.48,-2.5599999
-0.0121799987,-2.48,-2.3999999
-0.0121599985,-2.3999999,-2.72000003
-0.0121399984,-2.48,-2.48
-0.0121199992,-2.48,-2.72000003
-0.012099999,-2.3999999,-2.6399999
-0.0120799989,-2.48,-2.48
-0.0120599987,-2.5599999,-2.6399999
-0.0120399985,-2.3999999,-2.3999999
-0.0120199984,-2.48,-2.3199999
-0.0119999992,-2.3999999,-2.48
-0.011979999,-2.5599999,-2.5599999
-0.0119599989,-2.48,-2.79999995
-0.0119399987,-2.5599999,-2.48
-0.0119199986,-2.6399999,-2.6399999
-0.0118999984,-2.3999999,-2.6399999
-0.0118799992,-2.48,-2.5599999
-0.011859999,-2.5599999,-2.48
-0.0118399989,-2.3999999,-2.48
-0.0118199987,-2.48,-2.48
-0.0117999986,-2.3999999,-2.6399999
-0.0117799984,-2.5599999,-2.6399999
-0.0117599992,-2.5599999,-2.72000003
-0.0117399991,-2.48,-2.48
-0.0117199989,-2.48,-2.3999999
-0.0116999988,-2.48,-2.3999999
-0.0116799986,-2.5599999,-2.5599999
-0.0116599984,-2.48,-2.6399999
-0.0116399992,-2.5599999,-2.5599999
-0.0116199991,-2.48,-2.3999999
-0.0115999989,-2.5599999,-2.48
-0.0115799988,-2.48,-2.5599999
-0.0115599986,-2.48,-2.48
-0.0115399985,-2.5599999,-2.5599999
-0.0115199992,-2.48,-2.48
-0.0114999991,-2.5599999,-2.6399999
-0.0114799989,-2.48,-2.48
-0.0114599988,-2.48,-2.72000003
-0.0114399986,-2.48,-2.3999999
-0.0114199985,-2.5599999,-2.5599999
-0.0113999993,-2.5599999,-2.6399999
-0.0113799991,-2.5599999,-2.6399999
-0.011359999,-2.5599999,-2.6399999
-0.0113399988,-2.3999999,-2.3999999
-0.0113199987,-2.5599999,-2.6399999
-0.0112999985,-2.3999999,-2.24
